timestamp,total_value
2025-12-17T22:14:44.236107+00:00,165703.58734047698
2025-12-17T22:16:15.052053+00:00,167225.42634639444
2025-12-17T22:19:13.932262+00:00,167459.72251648983
2025-12-17T22:22:20.710880+00:00,167440.4157567161
2025-12-17T22:22:39.839110+00:00,167440.41575671604
2025-12-17T22:44:34.053519+00:00,167473.34652671986
2025-12-17T22:45:58.718432+00:00,167516.55084940422
2025-12-17T22:46:03.953335+00:00,167516.55084940424
2025-12-17T22:46:29.363080+00:00,167516.55084940424
2025-12-17T22:47:33.666107+00:00,167563.95418035553
2025-12-17T22:49:49.611843+00:00,167488.15230153545
2025-12-17T22:50:27.170964+00:00,167497.92970768354
2025-12-17T22:50:58.155343+00:00,167497.9297076835
2025-12-17T22:52:22.701984+00:00,167558.37053205475
2025-12-17T23:06:07.590574+00:00,167648.15813445832
2025-12-17T23:06:28.104436+00:00,167648.15813445832
2025-12-17T23:32:21.378179+00:00,167239.6866997838
2025-12-17T23:34:56.308658+00:00,167240.52787565708
2025-12-17T23:38:20.298804+00:00,167174.51485438977
2025-12-17T23:45:35.530517+00:00,167417.41013164868
2025-12-18T02:12:18.104486+00:00,167431.01024644193
2025-12-18T02:12:20.472003+00:00,167431.01024644202
2025-12-18T02:16:48.185306+00:00,167585.99755948927
2025-12-18T02:17:30.238730+00:00,167805.6453391616
2025-12-18T10:23:10.498512+00:00,168871.58644504947
2025-12-18T10:25:35.737252+00:00,168904.83728707474
2025-12-18T10:26:20.813323+00:00,168879.73221178388
2025-12-18T10:27:04.129804+00:00,168923.30616778327
2025-12-18T10:31:35.427217+00:00,168967.16221021046
2025-12-18T10:31:35.427217+00:00,168967.16221021046
2025-12-18T10:32:29.415621+00:00,168956.99986099068
2025-12-18T10:32:29.415621+00:00,168956.99986099068
2025-12-18T10:33:01.878257+00:00,168956.9998609907
2025-12-18T10:33:01.878257+00:00,168956.9998609907
2025-12-18T14:47:38.551831+00:00,170308.05285038656
2025-12-18T14:47:38.551831+00:00,170308.05285038656
2025-12-18T14:49:17.932353+00:00,170755.11047673482
2025-12-18T14:49:17.932353+00:00,170755.11047673482
2025-12-18T14:50:41.171898+00:00,170755.11047673476
2025-12-18T14:50:41.171898+00:00,170755.11047673476
2025-12-18T14:50:44.331138+00:00,170755.11047673476
2025-12-18T14:50:44.331138+00:00,170755.11047673476
2025-12-18T14:50:58.108293+00:00,170755.11047673482
2025-12-18T14:50:58.108293+00:00,170755.11047673482
2025-12-18T14:56:08.300169+00:00,170816.01664681558
2025-12-18T14:56:08.300169+00:00,170816.01664681558
2025-12-18T15:04:48.478486+00:00,171137.64438556856
2025-12-18T15:04:48.478486+00:00,171137.64438556856
2025-12-18T15:05:09.178489+00:00,171137.6443855685
2025-12-18T15:05:09.178489+00:00,171137.6443855685
2025-12-18T15:09:04.217772+00:00,171137.65068282167
2025-12-18T15:09:04.217772+00:00,171137.65068282167
2025-12-18T15:09:17.021134+00:00,171137.65068282178
